symbol,date,open,high,low,close,volume
NZDUSD,2026-01-12,0.57225,0.57748,0.57225,0.57717,116956
NZDUSD,2026-01-11,0.57225,0.575,0.57225,0.57429,29728
NZDUSD,2026-01-09,0.57508,0.57534,0.57111,0.57257,139837
NZDUSD,2026-01-08,0.57711,0.5776,0.57375,0.57508,117058
NZDUSD,2026-01-07,0.57841,0.57933,0.57697,0.57711,131469
NZDUSD,2026-01-06,0.57887,0.58104,0.57685,0.57841,131106
NZDUSD,2026-01-05,0.57575,0.57918,0.57417,0.57887,168850
NZDUSD,2026-01-04,0.5744,0.57688,0.56928,0.57548,38569
NZDUSD,2026-01-02,0.57541,0.57779,0.57523,0.5765,130273
NZDUSD,2026-01-01,0.57485,0.5761,0.5732,0.57561,105484
NZDUSD,2025-12-31,0.57919,0.57921,0.574,0.57541,108497
NZDUSD,2025-12-30,0.58033,0.58195,0.57886,0.57919,116018
NZDUSD,2025-12-29,0.58218,0.58335,0.57899,0.58033,145201
NZDUSD,2025-12-28,0.58323,0.58401,0.58241,0.58266,27504
NZDUSD,2025-12-26,0.58354,0.58423,0.58177,0.58232,87879
NZDUSD,2025-12-25,0.58411,0.58425,0.58333,0.58343,0
NZDUSD,2025-12-24,0.58415,0.58533,0.58298,0.58354,99944
NZDUSD,2025-12-23,0.57932,0.58432,0.57859,0.58415,126492
NZDUSD,2025-12-22,0.57452,0.58014,0.57409,0.57932,117087
NZDUSD,2025-12-21,0.57452,0.57727,0.57409,0.57708,40237
NZDUSD,2025-12-19,0.57713,0.57833,0.5736,0.57542,126067
NZDUSD,2025-12-18,0.57738,0.5788,0.57545,0.57713,296400
NZDUSD,2025-12-17,0.57807,0.57942,0.57671,0.57738,144676
NZDUSD,2025-12-16,0.57807,0.58068,0.57582,0.57807,159599
NZDUSD,2025-12-15,0.57804,0.58087,0.57654,0.57807,141909
NZDUSD,2025-12-14,0.58072,0.58153,0.57655,0.5773,39097
NZDUSD,2025-12-12,0.58082,0.58204,0.57875,0.58023,132939
NZDUSD,2025-12-11,0.58154,0.58314,0.57881,0.58082,295880
NZDUSD,2025-12-10,0.57798,0.58246,0.57614,0.58154,152599
NZDUSD,2025-12-09,0.57731,0.57948,0.57671,0.57798,132238
NZDUSD,2025-12-08,0.57716,0.57925,0.57587,0.57731,114492
NZDUSD,2025-12-07,0.57714,0.57766,0.57566,0.57741,30174
NZDUSD,2025-12-05,0.57585,0.57869,0.57551,0.5773,128848
NZDUSD,2025-12-04,0.57732,0.57787,0.57579,0.57585,244616
NZDUSD,2025-12-03,0.57282,0.57774,0.57282,0.57732,131495
NZDUSD,2025-12-02,0.57285,0.57446,0.57108,0.57282,115702
NZDUSD,2025-12-01,0.5723,0.57519,0.57221,0.57285,151304
NZDUSD,2025-11-30,0.5725,0.57389,0.57208,0.57355,4136
NZDUSD,2025-11-28,0.57285,0.57437,0.57039,0.57294,552204
NZDUSD,2025-11-27,0.56982,0.5732,0.56885,0.57285,186902
NZDUSD,2025-11-26,0.56197,0.57016,0.56102,0.56982,171675
NZDUSD,2025-11-25,0.561,0.56286,0.55913,0.56197,149390
NZDUSD,2025-11-24,0.56066,0.56145,0.55954,0.561,115509
NZDUSD,2025-11-23,0.56066,0.56144,0.56028,0.56059,22056
NZDUSD,2025-11-21,0.55813,0.56157,0.55777,0.56095,197208
NZDUSD,2025-11-20,0.56031,0.56387,0.55813,0.55813,365788
NZDUSD,2025-11-19,0.56577,0.56617,0.55898,0.56031,152824
NZDUSD,2025-11-18,0.56563,0.5675,0.56382,0.56577,174327
NZDUSD,2025-11-17,0.56735,0.56891,0.56487,0.56563,130910
NZDUSD,2025-11-16,0.56735,0.56796,0.56716,0.56752,25894
NZDUSD,2025-11-14,0.56528,0.56915,0.56451,0.5678,158589
NZDUSD,2025-11-13,0.56661,0.56825,0.56345,0.56528,318538
NZDUSD,2025-11-12,0.56547,0.56707,0.56454,0.56661,116501
NZDUSD,2025-11-11,0.56447,0.56689,0.56313,0.56547,114550
NZDUSD,2025-11-10,0.562,0.56505,0.562,0.56447,116942
NZDUSD,2025-11-09,0.56222,0.563,0.56098,0.56257,30628
NZDUSD,2025-11-07,0.56334,0.56406,0.56061,0.56234,135604
NZDUSD,2025-11-06,0.56617,0.56701,0.56258,0.56334,262706
