date,country,event,currency,previous,estimate,actual,change,impact,changePercentage,unit
2023-08-10 05:30:00,US,Core CPI MoM (Jul),USD,0.2,0.2,0.2,0.0,High,0.0,%
2023-08-10 05:30:00,US,CPI YoY (Jul),USD,3.0,3.3,3.2,0.2,High,6.667,%
2023-08-10 12:30:00,US,Inflation Rate MoM (Jul),USD,0.2,0.2,0.2,0.0,High,0.0,%
2023-08-10 12:30:00,US,Core Inflation Rate MoM (Jul),USD,0.2,0.2,0.2,0.0,High,0.0,%
2023-08-10 12:30:00,US,Core Inflation Rate YoY (Jul),USD,4.8,4.8,4.7,-0.1,High,-2.083,%
2023-08-10 12:30:00,US,Inflation Rate YoY (Jul),USD,3.0,3.3,3.2,0.2,High,6.667,%
2023-08-11 12:30:00,US,Producer Price Index MoM (Jul),USD,0.0,0.2,0.3,0.3,High,0.0,%
2023-08-15 12:30:00,US,Retail Sales MoM (Jul),USD,0.3,0.4,0.7,0.4,High,133.333,%
2023-08-16 18:00:00,US,FOMC Minutes,USD,,,,,High,0.0,
2023-08-24 12:30:00,US,Durable Goods Orders MoM (Jul),USD,4.4,-4.0,-5.2,-9.6,High,-218.182,%
2023-08-25 14:05:00,US,Fed Chair Powell Speech,USD,,,,,High,0.0,
2023-08-29 07:00:00,US,CB Consumer Confidence (Aug),USD,114.0,116.0,106.1,-7.9,High,-6.93,
2023-08-29 14:00:00,US,JOLTs Job Openings (Jul),USD,9.165,9.465,8.827,-0.338,High,-3.688,M
2023-08-30 12:30:00,US,GDP Growth Rate QoQ (Q2),USD,2.0,2.4,2.1,0.1,High,5.0,%
2023-08-31 12:30:00,US,Core PCE Price Index MoM (Jul),USD,0.2,0.2,0.2,0.0,High,0.0,%
2023-08-31 12:30:00,US,Personal Income MoM (Jul),USD,0.3,0.3,0.2,-0.1,High,-33.333,%
2023-08-31 12:30:00,US,Personal Spending MoM (Jul),USD,0.5,0.7,0.8,0.3,High,60.0,%
2023-09-01 12:30:00,US,Non Farm Payrolls (Aug),USD,157.0,170.0,187.0,30.0,High,19.108,K
2023-09-01 12:30:00,US,Unemployment Rate (Aug),USD,3.5,3.5,3.8,0.3,High,8.571,%
2023-09-01 14:00:00,US,ISM Manufacturing PMI (Aug),USD,46.4,47.0,47.6,1.2,High,2.586,
2023-09-06 07:00:00,US,ISM Non-Manufacturing PMI (Aug),USD,52.7,52.5,54.5,1.8,High,3.416,
2023-09-06 07:00:00,US,ISM Non-Manufacturing Prices (Aug),USD,56.8,,58.9,2.1,High,3.697,
2023-09-06 14:00:00,US,ISM Services PMI (Aug),USD,52.7,52.5,54.5,1.8,High,3.416,
2023-09-13 05:30:00,US,CPI MoM (Aug),USD,0.2,0.6,0.6,0.4,High,200.0,%
2023-09-13 05:30:00,US,CPI YoY (Aug),USD,3.2,3.6,3.7,0.5,High,15.625,%
2023-09-13 05:30:00,US,Core CPI MoM (Aug),USD,0.2,0.2,0.3,0.1,High,50.0,%
2023-09-13 12:30:00,US,Inflation Rate MoM (Aug),USD,0.2,0.6,0.6,0.4,High,200.0,%
2023-09-13 12:30:00,US,Inflation Rate YoY (Aug),USD,3.2,3.6,3.7,0.5,High,15.625,%
2023-09-13 12:30:00,US,Core Inflation Rate MoM (Aug),USD,0.2,0.2,0.3,0.1,High,50.0,%
2023-09-13 12:30:00,US,Core Inflation Rate YoY (Aug),USD,4.7,4.3,4.3,-0.4,High,-8.511,%
2023-09-14 12:30:00,US,Producer Price Index MoM (Aug),USD,0.4,0.4,0.7,0.3,High,75.0,%
2023-09-14 12:30:00,US,Retail Sales MoM (Aug),USD,0.5,0.2,0.6,0.1,High,20.0,%
2023-09-20 11:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-09-20 18:00:00,US,Fed Interest Rate Decision,USD,5.5,5.5,5.5,0.0,High,0.0,%
2023-09-20 18:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-09-26 07:00:00,US,CB Consumer Confidence (Sep),USD,108.7,105.5,103.0,-5.7,High,-5.244,
2023-09-27 12:30:00,US,Durable Goods Orders MoM (Aug),USD,-5.6,-0.5,0.2,5.8,High,103.571,%
2023-09-28 05:30:00,US,Gross Domestic Product QoQ (Q2),USD,2.0,2.1,2.1,0.1,High,5.0,%
2023-09-29 12:30:00,US,Personal Income MoM (Aug),USD,0.2,0.4,0.4,0.2,High,100.0,%
2023-09-29 12:30:00,US,Core PCE Price Index MoM (Aug),USD,0.2,0.2,0.1,-0.1,High,-50.0,%
2023-09-29 12:30:00,US,Personal Spending MoM (Aug),USD,0.9,0.4,0.4,-0.5,High,-55.556,%
2023-10-02 14:00:00,US,ISM Manufacturing PMI (Sep),USD,47.6,47.8,49.0,1.4,High,2.941,
2023-10-03 14:00:00,US,JOLTs Job Openings (Aug),USD,8.92,8.8,9.61,0.69,High,7.735,M
2023-10-04 07:00:00,US,ISM Non-Manufacturing PMI (Sep),USD,54.5,53.6,53.6,-0.9,High,-1.651,
2023-10-04 07:00:00,US,ISM Non-Manufacturing Prices (Sep),USD,58.9,,58.9,0.0,High,0.0,
2023-10-04 14:00:00,US,ISM Services PMI (Sep),USD,54.5,53.6,53.6,-0.9,High,-1.651,
2023-10-06 12:30:00,US,Non Farm Payrolls (Sep),USD,227.0,170.0,336.0,109.0,High,48.018,K
2023-10-06 12:30:00,US,Unemployment Rate (Sep),USD,3.8,3.7,3.8,0.0,High,0.0,%
