date,open,high,low,close
2024-11-08,1.08024,1.08044,1.06866,1.07174
2024-11-11,1.07058,1.07275,1.06284,1.0649
2024-11-12,1.0649,1.06627,1.05946,1.06228
2024-11-13,1.06228,1.06534,1.05555,1.05622
2024-11-14,1.05622,1.05822,1.04958,1.05292
2024-11-15,1.05292,1.05926,1.0516,1.05381
2024-11-18,1.05273,1.06068,1.05272,1.05975
2024-11-19,1.05975,1.06008,1.05227,1.05945
2024-11-20,1.05945,1.06095,1.05064,1.05432
2024-11-21,1.05432,1.05546,1.04617,1.04737
2024-11-22,1.04737,1.04976,1.03314,1.04144
2024-11-25,1.048,1.05301,1.04485,1.04948
2024-11-26,1.04948,1.05444,1.04249,1.04878
2024-11-27,1.04878,1.05874,1.0474,1.05654
2024-11-28,1.05654,1.05693,1.05271,1.05518
2024-11-29,1.05518,1.05968,1.0541,1.05741
2024-12-02,1.05645,1.05682,1.04601,1.04971
2024-12-03,1.04971,1.05347,1.04801,1.05047
2024-12-04,1.05047,1.05438,1.04719,1.05099
2024-12-05,1.05099,1.05893,1.05055,1.05857
2024-12-06,1.05857,1.06293,1.05419,1.05664
2024-12-09,1.05541,1.05941,1.05317,1.05527
2024-12-10,1.05527,1.05679,1.04981,1.05268
2024-12-11,1.05268,1.0539,1.04798,1.0495
2024-12-12,1.0495,1.05306,1.04633,1.04661
2024-12-13,1.04661,1.05238,1.04529,1.04982
2024-12-16,1.04854,1.05245,1.04743,1.05103
2024-12-17,1.05103,1.0534,1.04787,1.04901
2024-12-18,1.04901,1.05125,1.03433,1.03515
2024-12-19,1.03515,1.0422,1.0347,1.0358
2024-12-20,1.0358,1.04471,1.03425,1.04292
2024-12-23,1.04266,1.0445,1.03839,1.04045
2024-12-24,1.04045,1.04096,1.03831,1.03912
2024-12-26,1.03912,1.04298,1.03901,1.04203
2024-12-27,1.04203,1.04438,1.04046,1.04205
2024-12-30,1.0423,1.04581,1.03713,1.04063
2024-12-31,1.04063,1.04241,1.03434,1.03549
2025-01-02,1.03549,1.03721,1.02225,1.0261
2025-01-03,1.0261,1.03096,1.02568,1.03079
2025-01-06,1.03017,1.04365,1.02941,1.03893
2025-01-07,1.03893,1.04341,1.03391,1.03394
2025-01-08,1.03394,1.03573,1.02727,1.0318
2025-01-09,1.0318,1.03211,1.02832,1.02986
2025-01-10,1.02986,1.03117,1.02111,1.02398
2025-01-13,1.02355,1.02497,1.01766,1.02441
2025-01-14,1.02441,1.03082,1.0238,1.03072
2025-01-15,1.03072,1.03541,1.02582,1.02885
2025-01-16,1.02885,1.03148,1.02599,1.02962
2025-01-17,1.02962,1.03304,1.02648,1.02669
2025-01-20,1.02792,1.04342,1.02659,1.04159
2025-01-21,1.04159,1.0435,1.03413,1.04242
2025-01-22,1.04242,1.04571,1.03916,1.04081
2025-01-23,1.04081,1.04376,1.03713,1.04148
2025-01-24,1.04148,1.05211,1.04112,1.04918
2025-01-27,1.04742,1.05329,1.04534,1.04914
2025-01-28,1.04914,1.04924,1.04133,1.04299
2025-01-29,1.04299,1.04433,1.03819,1.04207
2025-01-30,1.04207,1.04672,1.03857,1.03891
2025-01-31,1.03891,1.04336,1.03495,1.0356
2025-02-03,1.02325,1.03496,1.02098,1.03432
2025-02-04,1.03432,1.03873,1.02713,1.03778
2025-02-05,1.03778,1.04423,1.03694,1.04023
2025-02-06,1.04023,1.04051,1.03521,1.03826
2025-02-07,1.03826,1.04109,1.03044,1.03254
2025-02-10,1.02863,1.03361,1.02821,1.03063
2025-02-11,1.03063,1.03812,1.02917,1.03607
2025-02-12,1.03607,1.04295,1.03165,1.03818
2025-02-13,1.03818,1.04671,1.03725,1.04635
2025-02-14,1.04635,1.05139,1.04467,1.0487
2025-02-17,1.04832,1.0506,1.04666,1.04836
2025-02-18,1.04836,1.0486,1.04347,1.04455
2025-02-19,1.04455,1.0461,1.04004,1.04221
2025-02-20,1.04221,1.05031,1.04182,1.05007
2025-02-21,1.05007,1.05053,1.04491,1.04561
2025-02-24,1.04695,1.05279,1.04524,1.04672
2025-02-25,1.04672,1.0519,1.04559,1.05125
2025-02-26,1.05125,1.05284,1.04746,1.04838
2025-02-27,1.04838,1.04922,1.03963,1.03975
2025-02-28,1.03975,1.04196,1.03595,1.03738
2025-03-03,1.04022,1.05038,1.03882,1.04863
2025-03-04,1.04863,1.06273,1.04707,1.06248
2025-03-05,1.06248,1.07964,1.06016,1.07874
2025-03-06,1.07874,1.08534,1.07652,1.07841
2025-03-07,1.07841,1.08883,1.07788,1.08313
2025-03-10,1.08304,1.08743,1.08045,1.08341
2025-03-11,1.08341,1.09469,1.08284,1.09181
2025-03-12,1.09181,1.09306,1.08752,1.08873
2025-03-13,1.08873,1.08968,1.08221,1.08507
2025-03-14,1.08507,1.09121,1.08302,1.08751
2025-03-17,1.08753,1.09294,1.08682,1.09217
2025-03-18,1.09217,1.09544,1.08921,1.09439
2025-03-19,1.09439,1.09457,1.08601,1.09009
2025-03-20,1.09009,1.09169,1.08144,1.08473
2025-03-21,1.08473,1.08611,1.07958,1.08115
2025-03-24,1.08122,1.08578,1.07812,1.08003
2025-03-25,1.08003,1.08299,1.07765,1.07902
2025-03-26,1.07902,1.08025,1.07436,1.07528
2025-03-27,1.07528,1.08209,1.07324,1.08006
2025-03-28,1.08006,1.08444,1.07634,1.08217
2025-03-30,1.08239,1.08485,1.07857,1.08239
2025-03-31,1.08175,1.0849,1.07836,1.08147
2025-04-01,1.08147,1.08297,1.07779,1.07925
