symbol,date,open,high,low,close,volume
AUDUSD,2024-11-15,0.64536,0.64812,0.64426,0.64591,266679
AUDUSD,2024-11-14,0.64848,0.6497,0.64404,0.64536,555556
AUDUSD,2024-11-13,0.65323,0.65456,0.64799,0.64848,261319
AUDUSD,2024-11-12,0.65734,0.65814,0.65137,0.65323,235728
AUDUSD,2024-11-11,0.65804,0.6598,0.65622,0.65734,189176
AUDUSD,2024-11-08,0.66789,0.66802,0.65578,0.65795,257196
AUDUSD,2024-11-07,0.65697,0.66875,0.65638,0.66789,568368
AUDUSD,2024-11-06,0.66377,0.66447,0.65119,0.65697,482271
AUDUSD,2024-11-05,0.6584,0.66414,0.65784,0.66377,173237
AUDUSD,2024-11-04,0.66074,0.66186,0.65792,0.6584,209872
AUDUSD,2024-11-01,0.65809,0.65909,0.65534,0.65577,411564
AUDUSD,2024-10-31,0.65714,0.65839,0.65391,0.65809,201571
AUDUSD,2024-10-30,0.656,0.65958,0.65364,0.65714,195720
AUDUSD,2024-10-29,0.65823,0.65853,0.65446,0.656,181932
AUDUSD,2024-10-28,0.66148,0.66148,0.65791,0.65823,149466
AUDUSD,2024-10-25,0.66393,0.66463,0.65991,0.66009,160687
AUDUSD,2024-10-24,0.66333,0.6661,0.66206,0.66393,361416
AUDUSD,2024-10-23,0.66814,0.66912,0.66136,0.66333,180995
AUDUSD,2024-10-22,0.66579,0.66949,0.66504,0.66814,177678
AUDUSD,2024-10-21,0.66979,0.6723,0.66523,0.66579,167606
AUDUSD,2024-10-18,0.66955,0.67191,0.66929,0.67016,179792
AUDUSD,2024-10-17,0.66658,0.67101,0.66586,0.66955,416966
AUDUSD,2024-10-16,0.67026,0.67041,0.66579,0.66658,191056
AUDUSD,2024-10-15,0.67259,0.67323,0.66978,0.67026,197372
AUDUSD,2024-10-14,0.67354,0.67446,0.67018,0.67259,182348
AUDUSD,2024-10-11,0.674,0.67588,0.67244,0.67484,163842
AUDUSD,2024-10-10,0.67173,0.6742,0.66997,0.674,500406
AUDUSD,2024-10-09,0.67467,0.67616,0.67072,0.67173,247799
AUDUSD,2024-10-08,0.67564,0.67691,0.67149,0.67467,277572
AUDUSD,2024-10-07,0.67892,0.68099,0.67429,0.67564,223843
